State,Age,Date
Alabama,5,9/01
Alaska,5,9/01
Arizona,5,9/01
Arkansas,5,8/01
California,5,9/01
Colorado,5,10/1
Connecticut,5,1/01
Delaware,5,8/31
District of Columbia,5,9/30
Florida,5,9/01
Georgia,5,9/01
Hawaii,5,7/31
Idaho,5,9/01
Illinois,5,9/01
Indiana,5,8/01
Iowa,5,9/15
Kansas,5,8/31
Kentucky,5,10/01
Louisiana,5,9/30
Maine,5,10/15
Maryland,5,9/01
Massachusetts,LEA,NA
Michigan,5,10/01
Minnesota,5,9/01
Mississippi,5,9/01
Missouri,5,8/01
Montana,5,9/10
Nebraska,5,7/31
Nevada,5,9/30
New Hampshire,LEA,NA
New Jersey,LEA,NA
New Mexico,5,9/01
New York,LEA,NA
North Carolina,5,8/31
North Dakota,5,8/01
Ohio,LEA,NA
Oklahoma,5,9/01
Oregon,5,9/01
Pennsylvania,LEA,NA
Rhode Island,5,9/01
South Carolina,5,9/01
South Dakota,5,9/01
Tennessee,5,8/15
Texas,5,9/01
Utah,5,9/02 
Vermont,LEA,NA
Virginia,5,9/30
Washington,5,8/31
West Virginia,5,9/01
Wisconsin,5,9/01
Wyoming,5,9/15